timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.used [MiB]
2023/01/19 18:57:47.360, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:57.376, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:57.376, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:07.378, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:07.378, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:17.382, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:17.382, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:27.384, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:27.385, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:37.394, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:37.394, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:47.395, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:47.395, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:57.396, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:57.396, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:07.397, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:07.397, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:17.406, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:17.406, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:27.418, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:27.418, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:37.426, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:37.442, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:47.446, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:47.446, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:57.447, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:59:57.448, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:07.450, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:07.450, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:17.458, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:17.458, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:27.466, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:27.466, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:37.470, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:37.470, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:47.472, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:47.472, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:57.478, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:00:57.478, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:01:07.490, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:01:07.490, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:01:17.498, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:01:17.498, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:01:27.510, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:01:27.510, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:01:37.518, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:01:37.518, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:01:47.522, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:01:47.522, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
